country,country_code,year,predicted_population
Comoros,COM,2032,970531.4818460869
Comoros,COM,2033,981983.7533318708
Congo,COG,2024,6306486.600000001
Congo,COG,2025,6428832.440040001
Congo,COG,2026,6549694.489912752
Congo,COG,2027,6668898.929629164
Congo,COG,2028,6786271.550790638
Congo,COG,2029,6901638.167154079
Congo,COG,2030,7014825.033095406
Congo,COG,2031,7125659.268618314
Congo,COG,2032,7233969.289501313
Congo,COG,2033,7339585.241128032
Costa Rica,CRI,2024,5065646.3418
Costa Rica,CRI,2025,5025627.735699779
Costa Rica,CRI,2026,4985422.713814181
Costa Rica,CRI,2027,4945040.789832287
Costa Rica,CRI,2028,4904491.455355662
Costa Rica,CRI,2029,4863784.17627621
Costa Rica,CRI,2030,4822928.38919549
Costa Rica,CRI,2031,4781933.497887328
Costa Rica,CRI,2032,4740808.869805497
Costa Rica,CRI,2033,4699563.832638189
Cote d'Ivoire,CIV,2024,31823185.991200004
Cote d'Ivoire,CIV,2025,32472378.985420484
Cote d'Ivoire,CIV,2026,33112084.85143327
Cote d'Ivoire,CIV,2027,33741214.46361051
Cote d'Ivoire,CIV,2028,34358678.68829458
Cote d'Ivoire,CIV,2029,34963391.43320857
Cote d'Ivoire,CIV,2030,35554272.7484298
Cote d'Ivoire,CIV,2031,36130251.96695436
Cote d'Ivoire,CIV,2032,36690270.872442156
Cote d'Ivoire,CIV,2033,37233286.8813543
Croatia,HRV,2024,3869090.7863
Croatia,HRV,2025,3840072.60540275
Croatia,HRV,2026,3808968.0172989876
Croatia,HRV,2027,3775829.9955484862
Croatia,HRV,2028,3740714.7765898854
Croatia,HRV,2029,3703681.7003016453
Croatia,HRV,2030,3664793.0424484783
Croatia,HRV,2031,3624113.8396773003
Croatia,HRV,2032,3581711.7077530758
Croatia,HRV,2033,3537656.653747713
Cuba,CUB,2024,10950455.7497
Cuba,CUB,2025,10884753.0152018
Cuba,CUB,2026,10822709.92301515
Cuba,CUB,2027,10764267.289430868
Cuba,CUB,2028,10709369.526254771
Cuba,CUB,2029,10657964.552528748
Cuba,CUB,2030,10610003.712042369
Cuba,CUB,2031,10565441.69645179
Cuba,CUB,2032,10524236.473835628
Cuba,CUB,2033,10486349.22252982
Cyprus,CYP,2024,1335387.9473
Cyprus,CYP,2025,1325906.6928741701
Cyprus,CYP,2026,1316492.7553547635
Cyprus,CYP,2027,1307145.6567917448
Cyprus,CYP,2028,1297864.9226285233
Cyprus,CYP,2029,1288650.0816778608
Cyprus,CYP,2030,1279500.666097948
Cyprus,CYP,2031,1270416.2113686528
Cyprus,CYP,2032,1261396.2562679353
Cyprus,CYP,2033,1252440.342848433
Czechia,CZE,2024,10721034.6732
Czechia,CZE,2025,10614896.42993532
Czechia,CZE,2026,10491763.63134807
Czechia,CZE,2027,10352223.175051142
Czechia,CZE,2028,10196939.827425374
Czechia,CZE,2029,10026650.93230737
Czechia,CZE,2030,9842160.555152915
Czechia,CZE,2031,9644333.127994342
Czechia,CZE,2032,9434086.665804064
Czechia,CZE,2033,9212385.629157668
Democratic Republic of Congo,COD,2024,109904899.59089999
Democratic Republic of Congo,COD,2025,114114257.24523146
Democratic Republic of Congo,COD,2026,118416364.7433767
Democratic Republic of Congo,COD,2027,122809611.87535597
Democratic Republic of Congo,COD,2028,127292162.70880647
Democratic Republic of Congo,COD,2029,131861951.35005262
Democratic Republic of Congo,COD,2030,136516678.23270947
Democratic Republic of Congo,COD,2031,141253806.9673845
Democratic Republic of Congo,COD,2032,146070561.7849723
Democratic Republic of Congo,COD,2033,150963925.60476887
Denmark,DNK,2024,5910010.3008
Denmark,DNK,2025,5869231.22972448
Denmark,DNK,2026,5825798.918624519
Denmark,DNK,2027,5779775.1071673855
Denmark,DNK,2028,5731224.99626718
Denmark,DNK,2029,5680217.093800402
Denmark,DNK,2030,5626823.053118679
Denmark,DNK,2031,5571117.504892804
Denmark,DNK,2032,5513177.882841919
Denmark,DNK,2033,5453084.243918941
